,,,,,,,,,,
Year,State,NMFS Name,Pounds,Metric Tons,Dollars,Confidentiality,Collection,Scientific Name,Tsn,Source
1964,VIRGINIA,"OYSTER, EASTERN","14,150,200","6,418","10,345,064",Public,Commercial,Crassostrea virginica,79872,ACCSPHIST
1963,MARYLAND,"OYSTER, EASTERN","7,756,400","3,518","5,618,082",Public,Commercial,Crassostrea virginica,79872,ACCSPHIST
1963,MISSISSIPPI,"OYSTER, EASTERN","4,679,500","2,123","975,115",Public,Commercial,Crassostrea virginica,79872,GULFFINHIST
1963,VIRGINIA,"OYSTER, EASTERN","10,517,900","4,771","8,110,189",Public,Commercial,Crassostrea virginica,79872,ACCSPHIST
1962,MARYLAND,"OYSTER, EASTERN","8,137,500","3,691","6,182,332",Public,Commercial,Crassostrea virginica,79872,ACCSPHIST
1962,MISSISSIPPI,"OYSTER, EASTERN","2,073,700",941,"537,870",Public,Commercial,Crassostrea virginica,79872,GULFFINHIST
1962,VIRGINIA,"OYSTER, EASTERN","11,800,000","5,352","9,773,869",Public,Commercial,Crassostrea virginica,79872,ACCSPHIST
1961,MARYLAND,"OYSTER, EASTERN","10,336,600","4,689","7,802,392",Public,Commercial,Crassostrea virginica,79872,ACCSPHIST
1961,MISSISSIPPI,"OYSTER, EASTERN","3,241,100","1,470","752,456",Public,Commercial,Crassostrea virginica,79872,GULFFINHIST
1961,VIRGINIA,"OYSTER, EASTERN","17,163,500","7,785","13,932,107",Public,Commercial,Crassostrea virginica,79872,ACCSPHIST
1960,MARYLAND,"OYSTER, EASTERN","11,769,700","5,339","8,426,224",Public,Commercial,Crassostrea virginica,79872,ACCSPHIST
1960,MISSISSIPPI,"OYSTER, EASTERN","2,390,700","1,084","535,495",Public,Commercial,Crassostrea virginica,79872,GULFFINHIST
1960,VIRGINIA,"OYSTER, EASTERN","15,340,400","6,958","10,882,946",Public,Commercial,Crassostrea virginica,79872,ACCSPHIST
1959,MARYLAND,"OYSTER, EASTERN","11,966,200","5,428","7,234,124",Public,Commercial,Crassostrea virginica,79872,ACCSPHIST
1959,MISSISSIPPI,"OYSTER, EASTERN","333,800",151,"82,488",Public,Commercial,Crassostrea virginica,79872,GULFFINHIST
1959,VIRGINIA,"OYSTER, EASTERN","21,354,900","9,687","13,374,298",Public,Commercial,Crassostrea virginica,79872,ACCSPHIST
1958,MARYLAND,"OYSTER, EASTERN","12,026,700","5,455","6,667,542",Public,Commercial,Crassostrea virginica,79872,ACCSPHIST
1958,MISSISSIPPI,"OYSTER, EASTERN","578,800",263,"122,322",Public,Commercial,Crassostrea virginica,79872,GULFFINHIST
1958,VIRGINIA,"OYSTER, EASTERN","25,503,700","11,568","14,126,422",Public,Commercial,Crassostrea virginica,79872,ACCSPHIST
1957,MARYLAND,"OYSTER, EASTERN","14,732,400","6,683","7,601,768",Public,Commercial,Crassostrea virginica,79872,ACCSPHIST
1957,MISSISSIPPI,"OYSTER, EASTERN","862,300",391,"185,402",Public,Commercial,Crassostrea virginica,79872,GULFFINHIST
1957,VIRGINIA,"OYSTER, EASTERN","20,089,500","9,113","9,846,869",Public,Commercial,Crassostrea virginica,79872,ACCSPHIST
1956,MARYLAND,"OYSTER, EASTERN","15,843,900","7,187","8,791,685",Public,Commercial,Crassostrea virginica,79872,ACCSPHIST
1956,MISSISSIPPI,"OYSTER, EASTERN","846,300",384,"173,654",Public,Commercial,Crassostrea virginica,79872,GULFFINHIST
1956,VIRGINIA,"OYSTER, EASTERN","21,220,200","9,625","9,900,857",Public,Commercial,Crassostrea virginica,79872,ACCSPHIST
1955,MARYLAND,"OYSTER, EASTERN","17,271,900","7,834","7,786,400",Public,Commercial,Crassostrea virginica,79872,ACCSPHIST
1955,MISSISSIPPI,"OYSTER, EASTERN","1,731,200",785,"349,851",Public,Commercial,Crassostrea virginica,79872,GULFFINHIST
1955,VIRGINIA,"OYSTER, EASTERN","21,955,600","9,959","10,015,845",Public,Commercial,Crassostrea virginica,79872,ACCSPHIST
1954,MARYLAND,"OYSTER, EASTERN","20,363,200","9,237","9,019,500",Public,Commercial,Crassostrea virginica,79872,ACCSPHIST
